	combo	count
409	orange sheep	0
456	yellow swan	0
455	spots swan	0
412	tawny sheep	0
44	tawny boar	0
413	amber sheep	0
476	tawny zebra	0
415	gold sheep	0
36	pink boar	0
418	grey skunk	0
43	tan boar	0
350	red pigeon	0
89	orange deer	0
348	tawny pigeon	0
229	dark killer_whale	0
197	dark grizzly	0
196	pink grizzly	0
195	white grizzly	0
191	gold gorilla	0
189	amber gorilla	0
188	tawny gorilla	0
187	tan gorilla	0
185	orange gorilla	0
184	yellow gorilla	0
183	spots gorilla	0
182	light gorilla	0
181	dark gorilla	0
75	tan crow	0
176	brown gorilla	0
172	tawny goat	0
171	tan goat	0
169	orange goat	0
167	spots goat	0
76	tawny crow	0
198	light grizzly	0
199	spots grizzly	0
200	yellow grizzly	0
215	spots hippo	0
225	black killer_whale	0
224	brown killer_whale	0
223	gold hippo	0
222	red hippo	0
221	amber hippo	0
220	tawny hippo	0
219	tan hippo	0
217	orange hippo	0
214	light hippo	0
201	orange grizzly	0
213	dark hippo	0
210	grey hippo	0
208	brown hippo	0
207	gold grizzly	0
205	amber grizzly	0
204	tawny grizzly	0
203	tan grizzly	0
202	blue grizzly	0
77	amber crow	0
159	gold giraffe	0
157	amber giraffe	0
105	orange dolphin	0
117	dark elephant	0
82	grey deer	0
84	pink deer	0
111	gold dolphin	0
109	amber dolphin	0
108	tawny dolphin	0
107	tan dolphin	0
85	dark deer	0
104	yellow dolphin	0
119	spots elephant	0
103	spots dolphin	0
102	light dolphin	0
101	dark dolphin	0
87	spots deer	0
96	brown dolphin	0
93	amber deer	0
92	tawny deer	0
91	tan deer	0
118	light elephant	0
120	yellow elephant	0
156	tawny giraffe	0
139	tan flamingo	0
153	orange giraffe	0
150	light giraffe	0
149	dark giraffe	0
147	white giraffe	0
146	grey giraffe	0
143	gold flamingo	0
141	amber flamingo	0
140	tawny flamingo	0
137	orange flamingo	0
123	tan elephant	0
136	yellow flamingo	0
135	spots flamingo	0
134	light flamingo	0
133	dark flamingo	0
130	grey flamingo	0
128	brown flamingo	0
125	amber elephant	0
124	tawny elephant	0
228	pink killer_whale	0
230	light killer_whale	0
347	tan pigeon	0
231	spots killer_whale	0
309	dark panther	0
64	brown crow	0
304	brown panther	0
303	gold panda	0
68	pink crow	0
301	amber panda	0
300	tawny panda	0
299	tan panda	0
297	orange panda	0
296	yellow panda	0
295	spots panda	0
294	light panda	0
293	dark panda	0
292	pink panda	0
290	grey panda	0
288	brown panda	0
287	gold mammoth	0
286	red mammoth	0
285	amber mammoth	0
311	spots panther	0
312	yellow panther	0
63	gold cheetah	0
331	tan pig	0
345	orange pigeon	0
343	spots pigeon	0
342	light pigeon	0
341	dark pigeon	0
58	blue cheetah	0
59	tan cheetah	0
333	amber pig	0
332	tawny pig	0
329	orange pig	0
315	tan panther	0
327	spots pig	0
326	light pig	0
60	tawny cheetah	0
61	amber cheetah	0
62	red cheetah	0
319	gold panther	0
317	amber panther	0
316	tawny panther	0
284	tawny mammoth	0
283	tan mammoth	0
282	blue mammoth	0
245	dark lion	0
257	black llama	0
70	light crow	0
71	spots crow	0
253	amber lion	0
252	tawny lion	0
251	tan lion	0
249	orange lion	0
246	light lion	0
73	orange crow	0
259	white llama	0
239	gold killer_whale	0
238	red killer_whale	0
237	amber killer_whale	0
236	tawny killer_whale	0
235	tan killer_whale	0
234	blue killer_whale	0
233	orange killer_whale	0
